gemnr;Gemnaam;2006;2007;2008;2009;2010;2011;2012;2013;2014
3;Appingedam;99,2;99,4;98,1;100,0;98,3;100,0;98,1;99,2;100,0
5;Bedum;97,6;98,2;98,3;100,0;98,9;99,1;98,1;96,3;100,0
7;Bellingwedde;97,8;98,7;98,5;94,4;97,3;96,3;95,4;95,9;98,6
9;Ten Boer;98,1;98,1;96,2;97,3;98,2;96,9;98,8;90,6;97,1
10;Delfzijl;98,6;97,7;98,8;98,8;97,1;98,4;99,6;98,6;97,0
14;Groningen;97,2;96,7;97,4;97,8;96,9;97,4;96,8;96,7;97,0
15;Grootegast;96,4;99,0;98,1;99,4;99,2;99,4;97,8;99,3;98,5
17;Haren;97,2;96,3;96,4;98,2;97,8;97,4;96,6;95,6;97,4
18;Hoogezand-Sappemeer;98,1;98,6;98,3;98,4;97,0;97,0;98,3;98,6;98,9
22;Leek;98,7;99,6;99,6;98,7;98,3;99,6;98,5;98,4;98,1
24;Loppersum;97,7;97,5;96,0;98,9;100,0;96,5;99,1;96,7;98,1
25;Marum;98,6;96,7;98,2;99,2;98,1;98,2;100,0;99,0;100,0
34;Almere;96,0;96,5;96,4;97,1;97,3;96,6;96,1;97,4;97,0
37;Stadskanaal;97,5;97,7;98,6;98,3;99,4;97,6;98,4;97,9;97,7
40;Slochteren;97,3;97,9;98,4;97,7;98,2;98,2;98,8;99,3;97,2
47;Veendam;99,7;98,6;99,3;97,7;98,6;98,9;98,2;96,7;98,6
48;Vlagtwedde;97,8;98,6;98,7;96,5;97,4;96,4;97,8;98,6;97,3
50;Zeewolde;94,2;96,8;98,1;97,8;97,3;95,9;93,1;93,5;96,6
51;Skarsterlƒn;97,8;99,4;98,7;99,1;99,0;99,6;99,0;95,6;
53;Winsum;97,9;98,9;98,3;97,9;98,7;99,4;100,0;99,3;98,6
55;Boarnsterhim;98,0;99,2;98,1;98,4;98,7;97,9;98,4;95,2;
56;Zuidhorn;97,2;97,4;98,3;98,1;97,7;98,0;96,2;97,8;96,4
58;Dongeradeel;96,5;98,3;98,0;98,5;99,3;97,7;98,6;99,3;98,5
59;Achtkarspelen;97,1;98,4;98,9;98,3;98,9;97,8;98,0;98,5;98,7
60;Ameland;94,0;100,0;93,6;97,4;97,6;100,0;93,3;94,6;97,7
63;het Bildt;97,4;99,2;97,8;99,1;94,4;92,9;92,4;92,9;93,9
70;Franekeradeel;98,3;97,6;95,3;98,6;99,5;98,5;96,9;97,4;98,4
72;Harlingen;98,9;97,2;98,8;100,0;100,0;98,3;98,1;97,1;96,6
74;Heerenveen;96,9;97,8;97,1;97,8;99,1;98,0;98,8;97,1;97,7
79;Kollumerland c.a.;100,0;100,0;98,6;100,0;99,3;100,0;97,6;98,7;96,8
80;Leeuwarden;95,3;96,2;97,0;97,3;96,3;96,2;97,2;97,5;97,3
81;Leeuwarderadeel;98,6;99,1;99,1;100,0;100,0;99,0;96,1;95,0;97,9
82;Lemsterland;99,5;99,4;98,4;98,9;97,8;96,9;96,3;99,4;
85;Ooststellingwerf;95,5;95,4;97,0;97,9;96,7;95,5;96,7;96,7;98,3
86;Opsterland;97,3;97,1;96,0;97,0;98,2;97,6;98,6;97,9;96,2
88;Schiermonnikoog;100,0;92,3;100,0;87,5;100,0;100,0;100,0;100,0;100,0
90;Smallingerland;97,5;97,4;97,0;97,4;98,1;97,1;97,4;97,2;97,0
93;Terschelling;93,9;100,0;97,4;100,0;97,8;95,7;100,0;97,6;96,7
96;Vlieland;93,3;88,9;100,0;100,0;90,9;100,0;100,0;100,0;100,0
98;Weststellingwerf;98,0;95,5;96,5;98,9;99,2;97,8;95,1;98,5;97,5
106;Assen;96,8;97,2;97,4;97,0;97,2;97,2;97,5;97,7;97,5
109;Coevorden;98,1;97,3;97,6;98,3;97,1;98,9;96,2;98,4;96,1
114;Emmen;97,2;97,9;97,7;97,9;97,4;97,0;97,9;97,4;97,8
118;Hoogeveen;98,1;95,6;97,3;98,5;97,9;97,9;98,3;97,8;98,0
119;Meppel;97,3;96,2;97,0;97,9;97,7;97,9;96,5;98,4;95,3
140;Littenseradiel;97,0;97,9;97,8;96,9;97,3;97,2;97,0;97,9;99,0
141;Almelo;97,3;98,2;99,3;98,2;97,8;97,9;97,5;97,2;98,2
147;Borne;98,0;98,5;98,7;97,8;97,8;97,5;97,3;99,1;98,8
148;Dalfsen;96,1;96,0;97,6;98,1;98,7;97,4;97,6;99,6;97,4
150;Deventer;96,7;97,7;97,1;97,0;97,9;97,7;98,0;97,9;96,9
153;Enschede;97,0;98,1;97,6;98,1;97,4;97,1;97,4;97,2;97,4
158;Haaksbergen;96,7;97,6;97,8;98,4;96,2;97,9;95,6;98,3;98,2
160;Hardenberg;97,3;97,0;94,4;96,8;98,4;98,4;97,5;97,9;98,0
163;Hellendoorn;97,4;97,7;99,4;98,3;100,0;99,0;97,7;99,0;99,0
164;Hengelo (O.);96,6;98,7;98,4;98,6;99,2;97,9;98,1;97,7;98,2
166;Kampen;91,1;92,2;92,7;92,7;92,6;93,6;93,9;91,9;93,6
168;Losser;95,9;98,1;99,2;98,0;96,8;99,2;98,2;97,5;98,6
171;Noordoostpolder;96,2;96,6;96,1;96,1;96,4;97,5;95,4;95,8;94,1
173;Oldenzaal;97,8;98,5;98,1;98,7;99,1;96,9;97,6;98,1;97,9
175;Ommen;94,6;98,4;96,9;97,8;99,5;96,4;98,1;100,0;99,5
177;Raalte;98,4;98,2;97,4;97,7;98,2;97,5;99,5;99,1;98,6
180;Staphorst;83,0;81,1;82,8;80,3;83,1;81,9;83,6;84,1;81,8
183;Tubbergen;97,0;97,2;98,6;99,2;98,1;97,4;98,3;98,7;98,6
184;Urk;71,5;73,6;73,1;75,0;73,1;73,8;68,8;67,4;69,4
189;Wierden;97,4;96,5;98,6;98,5;98,3;97,9;98,0;96,1;98,0
193;Zwolle;96,5;96,7;97,2;97,9;98,0;96,7;97,0;97,0;96,1
196;Rijnwaarden;96,9;100,0;95,7;98,3;98,0;96,7;99,0;95,2;97,1
197;Aalten;97,3;97,6;97,2;98,8;97,8;96,7;98,4;96,9;95,7
200;Apeldoorn;93,6;95,0;93,9;95,4;95,1;96,0;95,2;95,3;95,7
202;Arnhem;95,7;96,0;95,5;97,1;96,4;96,5;96,3;96,3;96,8
203;Barneveld;74,9;72,6;75,0;75,3;74,5;75,0;72,2;74,8;70,6
